Year,Lake,Species,Grand_Total,Comments,Functional_Feeding_Group
2000,Michigan,Carp,0,,Benthic omnivore
2000,Michigan,Channel Catfish,0.088,,Benthic omnivore
2000,Michigan,Chinook Salmon,34766.921,,Piscivore
2000,Michigan,Chubs,1533,,Planktivore
2000,Michigan,Cisco,0.221,,Planktivore
2000,Michigan,Coho Salmon,0,,Piscivore
2000,Michigan,Freshwater Drum,0,,Benthic invertivore
2000,Michigan,Gizzard Shad,5,,Planktivore
2000,Michigan,Lake Trout,622.293,,Piscivore
2000,Michigan,Lake Whitefish,4794,,Benthic invertivore
2000,Michigan,Pacific Salmon,34.778,"For U.S. data, Chinook salmon.",Piscivore
2000,Michigan,Rainbow Smelt,387,,Planktivore
2000,Michigan,Round Whitefish,26.812,,Benthic invertivore
2000,Michigan,Suckers,8.217,,Benthic omnivore
2000,Michigan,Walleye,12.718,,Piscivore
2000,Michigan,White Bass,0,,Piscivore
2000,Michigan,White Perch,0,,Invertivore
2000,Michigan,Yellow Perch,57.582,,Invertivore
2001,Michigan,Alewife,106,,Planktivore
2001,Michigan,Buffalo,0,,Benthic omnivore
2001,Michigan,Bullheads,0,,Benthic omnivore
2001,Michigan,Burbot,17,,Piscivore
2001,Michigan,Carp,0,,Benthic omnivore
2001,Michigan,Channel Catfish,0.043,,Benthic omnivore
2001,Michigan,Chinook Salmon,29112.07,,Piscivore
2001,Michigan,Chubs,1717,,Planktivore
2001,Michigan,Cisco,0.109,,Planktivore
2001,Michigan,Coho Salmon,0,,Piscivore
2001,Michigan,Freshwater Drum,1,,Benthic invertivore
2001,Michigan,Gizzard Shad,6,,Planktivore
2001,Michigan,Lake Trout,491.093,,Piscivore
2001,Michigan,Lake Whitefish,4610,,Benthic invertivore
2001,Michigan,Pacific Salmon,29.112,"For U.S. data, Chinook salmon.",Piscivore
2001,Michigan,Rainbow Smelt,328,,Planktivore
2001,Michigan,Round Whitefish,10.296,,Benthic invertivore
2001,Michigan,Suckers,8.53,,Benthic omnivore
2001,Michigan,Walleye,12.861,,Piscivore
2001,Michigan,White Bass,1,,Piscivore
2001,Michigan,White Perch,2,,Invertivore
2001,Michigan,Yellow Perch,38.987,,Invertivore
2002,Michigan,Alewife,197,,Planktivore
2002,Michigan,Bullheads,0,,Benthic omnivore
2002,Michigan,Burbot,12.352,,Piscivore
2002,Michigan,Carp,0,,Benthic omnivore
2002,Michigan,Channel Catfish,0.672,,Benthic omnivore
2002,Michigan,Chinook Salmon,15747.38,,Piscivore
2002,Michigan,Chubs,1999,,Planktivore
2002,Michigan,Cisco,0.394,,Planktivore
2002,Michigan,Coho Salmon,0,,Piscivore
2002,Michigan,Freshwater Drum,0,,Benthic invertivore
2002,Michigan,Gizzard Shad,13,,Planktivore
2002,Michigan,Lake Trout,290.329,,Piscivore
2002,Michigan,Lake Whitefish,3874,,Benthic invertivore
2002,Michigan,Pacific Salmon,15.747,"For U.S. data, Chinook salmon.",Piscivore
2002,Michigan,Rainbow Smelt,452,,Planktivore
2002,Michigan,Round Whitefish,8.465,,Benthic invertivore
2002,Michigan,Suckers,2.367,,Benthic omnivore
2002,Michigan,Walleye,15.235,,Piscivore
2002,Michigan,White Perch,1,,Invertivore
2002,Michigan,Yellow Perch,19.79,,Invertivore
2003,Michigan,Alewife,96,,Planktivore
2003,Michigan,Bullheads,0,,Benthic omnivore
2003,Michigan,Burbot,20,,Piscivore
2003,Michigan,Carp,0,,Benthic omnivore
2003,Michigan,Channel Catfish,0.097,,Benthic omnivore
2003,Michigan,Chinook Salmon,3095.047,,Piscivore
2003,Michigan,Chubs,1871,,Planktivore
2003,Michigan,Cisco,0.156,,Planktivore
2003,Michigan,Coho Salmon,0,,Piscivore
2003,Michigan,Freshwater Drum,0,,Benthic invertivore
2003,Michigan,Gizzard Shad,5,,Planktivore
2003,Michigan,Lake Trout,190.101,,Piscivore
2003,Michigan,Lake Whitefish,3959,,Benthic invertivore
2003,Michigan,Pacific Salmon,3.095,"For U.S. data, Chinook salmon.",Piscivore
2003,Michigan,Rainbow Smelt,185,,Planktivore
2003,Michigan,Round Whitefish,13.601,,Benthic invertivore
2003,Michigan,Suckers,125.345,,Benthic omnivore
2003,Michigan,Walleye,7.233,,Piscivore
2003,Michigan,White Bass,0,,Piscivore
2003,Michigan,White Perch,12,,Invertivore
2003,Michigan,Yellow Perch,19.249,,Invertivore
2004,Michigan,Alewife,63.001,,Planktivore
2004,Michigan,Bullheads,0,,Benthic omnivore
2004,Michigan,Burbot,11,,Piscivore
2004,Michigan,Carp,0,,Benthic omnivore
2004,Michigan,Channel Catfish,0.012,,Benthic omnivore
2004,Michigan,Chinook Salmon,1307.096,,Piscivore
2004,Michigan,Chubs,1675,,Planktivore
2004,Michigan,Cisco,0.032,,Planktivore
2004,Michigan,Coho Salmon,0.005,,Piscivore
2004,Michigan,Freshwater Drum,0,,Benthic invertivore
2004,Michigan,Gizzard Shad,0,,Planktivore
2004,Michigan,Lake Trout,169.916,,Piscivore
2004,Michigan,Lake Whitefish,4022,,Benthic invertivore
2004,Michigan,Pacific Salmon,1.312,"For U.S. data, Chinook and Coho salmon.",Piscivore
2004,Michigan,Rainbow Smelt,415,,Planktivore
2004,Michigan,Round Whitefish,13.436,,Benthic invertivore
2004,Michigan,Suckers,2.511,,Benthic omnivore
2004,Michigan,Walleye,8.315,,Piscivore
2004,Michigan,White Bass,0,,Piscivore
2004,Michigan,White Perch,2,,Invertivore
2004,Michigan,Yellow Perch,18.481,,Invertivore
2005,Michigan,Alewife,43,,Planktivore
2005,Michigan,Bullheads,0,,Benthic omnivore
2005,Michigan,Burbot,14.134,,Piscivore
2005,Michigan,Carp,0,,Benthic omnivore
2005,Michigan,Channel Catfish,0.067,,Benthic omnivore
2005,Michigan,Chinook Salmon,5341.486,,Piscivore
2005,Michigan,Chubs,1810,,Planktivore
2005,Michigan,Cisco,,,Planktivore
2005,Michigan,Coho Salmon,0,,Piscivore
2005,Michigan,Freshwater Drum,2,,Benthic invertivore
2005,Michigan,Gizzard Shad,0,,Planktivore
2005,Michigan,Lake Trout,223.222,,Piscivore
2005,Michigan,Lake Whitefish,4506,,Benthic invertivore
2005,Michigan,Pacific Salmon,5.341,"For U.S. data, Chinook salmon.",Piscivore
2005,Michigan,Rainbow Smelt,676,,Planktivore
2005,Michigan,Round Whitefish,13.635,,Benthic invertivore
2005,Michigan,Suckers,24.848,,Benthic omnivore
2005,Michigan,Walleye,6.043,,Piscivore
2005,Michigan,White Bass,0,,Piscivore
2005,Michigan,White Perch,1,,Invertivore
2005,Michigan,Yellow Perch,23.144,,Invertivore
2006,Michigan,Alewife,28,,Planktivore
2006,Michigan,Bullheads,0,,Benthic omnivore
2006,Michigan,Burbot,13.016,,Piscivore
2006,Michigan,Carp,0,,Benthic omnivore
2006,Michigan,Channel Catfish,1.041,,Benthic omnivore
2006,Michigan,Chinook Salmon,5623.043,,Piscivore
2006,Michigan,Chubs,1159,,Planktivore
2006,Michigan,Cisco,,,Planktivore
2006,Michigan,Coho Salmon,0.007,,Piscivore
2006,Michigan,Freshwater Drum,0,,Benthic invertivore
2006,Michigan,Gizzard Shad,0,,Planktivore
2006,Michigan,Lake Trout,237.664,,Piscivore
2006,Michigan,Lake Whitefish,4980,,Benthic invertivore
2006,Michigan,Pacific Salmon,5.63,"For U.S. data, Chinook and Coho salmon.",Piscivore
2006,Michigan,Rainbow Smelt,837,,Planktivore
2006,Michigan,Round Whitefish,0.889,,Benthic invertivore
2006,Michigan,Suckers,1.02,,Benthic omnivore
2006,Michigan,Walleye,2.536,,Piscivore
2006,Michigan,White Bass,1,,Piscivore
2006,Michigan,White Perch,0,,Invertivore
2006,Michigan,Yellow Perch,90.295,,Invertivore
2007,Michigan,Alewife,20,,Planktivore
2007,Michigan,Bullheads,1,,Benthic omnivore
2007,Michigan,Burbot,11,,Piscivore
2007,Michigan,Carp,0,,Benthic omnivore
2007,Michigan,Channel Catfish,0.043,,Benthic omnivore
2007,Michigan,Chinook Salmon,3892.64,,Piscivore
2007,Michigan,Chubs,685,,Planktivore
2007,Michigan,Cisco,0.435,,Planktivore
2007,Michigan,Coho Salmon,0,,Piscivore
2007,Michigan,Freshwater Drum,0,,Benthic invertivore
2007,Michigan,Gizzard Shad,0,,Planktivore
2007,Michigan,Lake Trout,270.414,,Piscivore
2007,Michigan,Lake Whitefish,4640,,Benthic invertivore
2007,Michigan,Pacific Salmon,3.893,,Piscivore
2007,Michigan,Rainbow Smelt,429,,Planktivore
2007,Michigan,Round Whitefish,1.819,,Benthic invertivore
2007,Michigan,Suckers,0.008,,Benthic omnivore
2007,Michigan,Walleye,7.358,,Piscivore
2007,Michigan,White Bass,0,,Piscivore
2007,Michigan,White Perch,1,,Invertivore
2007,Michigan,Yellow Perch,66.096,,Invertivore
2008,Michigan,Alewife,31,,Planktivore
2008,Michigan,Bullheads,1,,Benthic omnivore
2008,Michigan,Burbot,11,,Piscivore
2008,Michigan,Carp,0.444,,Benthic omnivore
2008,Michigan,Channel Catfish,0.011,,Benthic omnivore
2008,Michigan,Chinook Salmon,5491.864,,Piscivore
2008,Michigan,Chubs,459,,Planktivore
2008,Michigan,Cisco,0.23,,Planktivore
2008,Michigan,Coho Salmon,0,,Piscivore
2008,Michigan,Freshwater Drum,3,,Benthic invertivore
2008,Michigan,Gizzard Shad,1,,Planktivore
2008,Michigan,Lake Trout,348.372,,Piscivore
2008,Michigan,Lake Whitefish,4802,,Benthic invertivore
2008,Michigan,Pacific Salmon,5.492,,Piscivore
2008,Michigan,Rainbow Smelt,191,,Planktivore
2008,Michigan,Round Whitefish,4.62,,Benthic invertivore
2008,Michigan,Suckers,3.95,,Benthic omnivore
2008,Michigan,Walleye,6.856,,Piscivore
2008,Michigan,White Bass,1,,Piscivore
2008,Michigan,White Perch,2,,Invertivore
2008,Michigan,Yellow Perch,69.303,,Invertivore
2009,Michigan,Alewife,5,,Planktivore
2009,Michigan,Bullheads,0,,Benthic omnivore
2009,Michigan,Burbot,12,,Piscivore
2009,Michigan,Carp,0,,Benthic omnivore
2009,Michigan,Channel Catfish,0.018,,Benthic omnivore
2009,Michigan,Chinook Salmon,3072.871,,Piscivore
2009,Michigan,Chubs,308,,Planktivore
2009,Michigan,Cisco,0.815,,Planktivore
2009,Michigan,Coho Salmon,0,,Piscivore
2009,Michigan,Freshwater Drum,1,,Benthic invertivore
2009,Michigan,Gizzard Shad,0,,Planktivore
2009,Michigan,Lake Trout,391.213,,Piscivore
2009,Michigan,Lake Whitefish,5563,,Benthic invertivore
2009,Michigan,Pacific Salmon,3.073,,Piscivore
2009,Michigan,Rainbow Smelt,45,,Planktivore
2009,Michigan,Round Whitefish,8.933,,Benthic invertivore
2009,Michigan,Suckers,2.418,,Benthic omnivore
2009,Michigan,Walleye,11.117,,Piscivore
2009,Michigan,White Bass,0,,Piscivore
2009,Michigan,White Perch,1,,Invertivore
2009,Michigan,Yellow Perch,62.776,,Invertivore
2010,Michigan,Alewife,16,,Planktivore
2010,Michigan,Bullheads,0,,Benthic omnivore
2010,Michigan,Burbot,12,,Piscivore
2010,Michigan,Carp,0,,Benthic omnivore
2010,Michigan,Channel Catfish,0.06,,Benthic omnivore
2010,Michigan,Chinook Salmon,2382.299,,Piscivore
2010,Michigan,Chubs,159,,Planktivore
2010,Michigan,Cisco,0.047,,Planktivore
2010,Michigan,Coho Salmon,0,,Piscivore
2010,Michigan,Freshwater Drum,2,,Benthic invertivore
2010,Michigan,Gizzard Shad,0,,Planktivore
2010,Michigan,Lake Trout,425.699,,Piscivore
2010,Michigan,Lake Whitefish,5295,,Benthic invertivore
2010,Michigan,Pacific Salmon,2.382,,Piscivore
2010,Michigan,Rainbow Smelt,323,,Planktivore
2010,Michigan,Round Whitefish,6.687,,Benthic invertivore
2010,Michigan,Suckers,5.699,,Benthic omnivore
2010,Michigan,Walleye,9.447,,Piscivore
2010,Michigan,White Bass,1,,Piscivore
2010,Michigan,White Perch,1,,Invertivore
2010,Michigan,Yellow Perch,76.353,,Invertivore
2011,Michigan,Alewife,0,,Planktivore
2011,Michigan,Bullheads,0,,Benthic omnivore
2011,Michigan,Burbot,18.17,,Piscivore
2011,Michigan,Carp,0.035,,Benthic omnivore
2011,Michigan,Channel Catfish,1,,Benthic omnivore
2011,Michigan,Chinook Salmon,6661.742,,Piscivore
2011,Michigan,Chubs,103,,Planktivore
2011,Michigan,Cisco,0.04,,Planktivore
2011,Michigan,Coho Salmon,0.398,,Piscivore
2011,Michigan,Freshwater Drum,,,Benthic invertivore
2011,Michigan,Gizzard Shad,0,,Planktivore
2011,Michigan,Lake Trout,487.755,,Piscivore
2011,Michigan,Lake Whitefish,5008,,Benthic invertivore
2011,Michigan,Pacific Salmon,7.059,,Piscivore
2011,Michigan,Rainbow Smelt,267,,Planktivore
2011,Michigan,Round Whitefish,10.164,,Benthic invertivore
2011,Michigan,Suckers,1.942,,Benthic omnivore
2011,Michigan,Walleye,9.274,,Piscivore
2011,Michigan,White Bass,0,,Piscivore
2011,Michigan,White Perch,1,,Invertivore
2011,Michigan,Yellow Perch,50.789,,Invertivore
2012,Michigan,Alewife,42,,Planktivore
2012,Michigan,Bullheads,0,,Benthic omnivore
2012,Michigan,Burbot,12,,Piscivore
2012,Michigan,Carp,0.003,,Benthic omnivore
2012,Michigan,Channel Catfish,1,,Benthic omnivore
2012,Michigan,Chinook Salmon,3426.836,,Piscivore
2012,Michigan,Chubs,26.912,,Planktivore
2012,Michigan,Cisco,0.528,,Planktivore
2012,Michigan,Coho Salmon,0,,Piscivore
2012,Michigan,Freshwater Drum,3,,Benthic invertivore
2012,Michigan,Gizzard Shad,0,,Planktivore
2012,Michigan,Lake Trout,506.513,,Piscivore
2012,Michigan,Lake Whitefish,5014,,Benthic invertivore
2012,Michigan,Pacific Salmon,3.427,,Piscivore
2012,Michigan,Rainbow Smelt,32,,Planktivore
2012,Michigan,Round Whitefish,4.127,,Benthic invertivore
2012,Michigan,Suckers,2.293,,Benthic omnivore
2012,Michigan,Walleye,9.148,,Piscivore
2012,Michigan,White Bass,0,,Piscivore
2012,Michigan,White Perch,0,,Invertivore
2012,Michigan,Yellow Perch,66.672,,Invertivore
2013,Michigan,Alewife,5.565,,Planktivore
2013,Michigan,Bullheads,0,,Benthic omnivore
2013,Michigan,Burbot,11.751,,Piscivore
2013,Michigan,Carp,0.122,,Benthic omnivore
2013,Michigan,Channel Catfish,0.408,,Benthic omnivore
2013,Michigan,Chinook Salmon,3083.47,,Piscivore
2013,Michigan,Chubs,24.576,,Planktivore
2013,Michigan,Cisco,2.227,,Planktivore
2013,Michigan,Coho Salmon,0.093,,Piscivore
2013,Michigan,Freshwater Drum,0.017,,Benthic invertivore
2013,Michigan,Gizzard Shad,0,,Planktivore
2013,Michigan,Lake Trout,657.864,,Piscivore
2013,Michigan,Lake Whitefish,3937.745,,Benthic invertivore
2013,Michigan,Pacific Salmon,3.177,,Piscivore
2013,Michigan,Rainbow Smelt,1.956,,Planktivore
2013,Michigan,Round Whitefish,2.345,,Benthic invertivore
2013,Michigan,Suckers,3.546,,Benthic omnivore
2013,Michigan,Walleye,10.418,,Piscivore
2013,Michigan,White Bass,0.098,,Piscivore
2013,Michigan,White Perch,0.54,,Invertivore
2013,Michigan,Yellow Perch,91.134,,Invertivore
2014,Michigan,Alewife,0,,Planktivore
2014,Michigan,Bullheads,0.008,,Benthic omnivore
2014,Michigan,Burbot,10.536,,Piscivore
2014,Michigan,Carp,0.127,,Benthic omnivore
2014,Michigan,Channel Catfish,0.483,,Benthic omnivore
2014,Michigan,Chinook Salmon,584.28,,Piscivore
2014,Michigan,Chubs,42.848,,Planktivore
2014,Michigan,Cisco,0.863,,Planktivore
2014,Michigan,Coho Salmon,0.013,,Piscivore
2014,Michigan,Freshwater Drum,20.032,,Benthic invertivore
2014,Michigan,Gizzard Shad,0,,Planktivore
2014,Michigan,Lake Trout,668.876,,Piscivore
2014,Michigan,Lake Whitefish,3615.788,,Benthic invertivore
2014,Michigan,Pacific Salmon,0.6,,Piscivore
2014,Michigan,Rainbow Smelt,0.08,,Planktivore
2014,Michigan,Round Whitefish,4.113,,Benthic invertivore
2014,Michigan,Suckers,13.39,,Benthic omnivore
2014,Michigan,Walleye,7.307,,Piscivore
2014,Michigan,White Bass,0.017,,Piscivore
2014,Michigan,White Perch,0.046,,Invertivore
2014,Michigan,Yellow Perch,46.897,,Invertivore
2015,Michigan,Alewife,6.526,,Planktivore
2015,Michigan,Bullheads,,,Benthic omnivore
2015,Michigan,Burbot,11.65,,Piscivore
2015,Michigan,Carp,0.015,,Benthic omnivore
2015,Michigan,Channel Catfish,0.567,,Benthic omnivore
2015,Michigan,Chinook Salmon,286.21,,Piscivore
2015,Michigan,Chubs,94.148,,Planktivore
2015,Michigan,Cisco,6.894,,Planktivore
2015,Michigan,Coho Salmon,0.004,,Piscivore
2015,Michigan,Freshwater Drum,0.072,,Benthic invertivore
2015,Michigan,Gizzard Shad,0,,Planktivore
2015,Michigan,Lake Trout,508.642,,Piscivore
2015,Michigan,Lake Whitefish,3276.399,,Benthic invertivore
2015,Michigan,Pacific Salmon,0.29,,Piscivore
2015,Michigan,Rainbow Smelt,0.482,,Planktivore
2015,Michigan,Round Whitefish,5.218,,Benthic invertivore
2015,Michigan,Suckers,15.375,,Benthic omnivore
2015,Michigan,Walleye,5.41,,Piscivore
2015,Michigan,White Bass,0.195,,Piscivore
2015,Michigan,White Perch,0.008,,Invertivore
2015,Michigan,Yellow Perch,55.098,,Invertivore
2016,Michigan,Alewife,3.33,,Planktivore
2016,Michigan,Bullheads,0.21,,Benthic omnivore
2016,Michigan,Burbot,11.377,,Piscivore
2016,Michigan,Carp,0,,Benthic omnivore
2016,Michigan,Channel Catfish,0.259,,Benthic omnivore
2016,Michigan,Chinook Salmon,3064.23,,Piscivore
2016,Michigan,Chubs,75.263,,Planktivore
2016,Michigan,Cisco,4.721,,Planktivore
2016,Michigan,Coho Salmon,0,,Piscivore
2016,Michigan,Freshwater Drum,0.099,,Benthic invertivore
2016,Michigan,Gizzard Shad,0,,Planktivore
2016,Michigan,Lake Trout,659.037,,Piscivore
2016,Michigan,Lake Whitefish,3072.907,,Benthic invertivore
2016,Michigan,Pacific Salmon,3.064,,Piscivore
2016,Michigan,Rainbow Smelt,0.037,,Planktivore
2016,Michigan,Round Whitefish,4.131,,Benthic invertivore
2016,Michigan,Suckers,21.353,,Benthic omnivore
2016,Michigan,Walleye,7.142,,Piscivore
2016,Michigan,White Bass,0.021,,Piscivore
2016,Michigan,White Perch,0.454,,Invertivore
2016,Michigan,Yellow Perch,36.956,,Invertivore
2017,Michigan,Alewife,0,,Planktivore
2017,Michigan,Bullheads,,,Benthic omnivore
2017,Michigan,Burbot,12.763,,Piscivore
2017,Michigan,Carp,0.011,,Benthic omnivore
2017,Michigan,Channel Catfish,0.077,,Benthic omnivore
2017,Michigan,Chinook Salmon,7374.17,,Piscivore
2017,Michigan,Chubs,21.221,,Planktivore
2017,Michigan,Cisco,4.973,,Planktivore
2017,Michigan,Coho Salmon,0.064,,Piscivore
2017,Michigan,Freshwater Drum,0.135,,Benthic invertivore
2017,Michigan,Gizzard Shad,0,,Planktivore
2017,Michigan,Lake Trout,672.07,,Piscivore
2017,Michigan,Lake Whitefish,2898.419,,Benthic invertivore
2017,Michigan,Pacific Salmon,7.438,,Piscivore
2017,Michigan,Rainbow Smelt,0.059,,Planktivore
2017,Michigan,Round Whitefish,6.49,,Benthic invertivore
2017,Michigan,Suckers,16.862,,Benthic omnivore
2017,Michigan,Walleye,3.508,,Piscivore
2017,Michigan,White Bass,0.024,,Piscivore
2017,Michigan,White Perch,0.756,,Invertivore
2017,Michigan,Yellow Perch,52.771,,Invertivore
2018,Michigan,Alewife,0,,Planktivore
2018,Michigan,Bullheads,0.133,,Benthic omnivore
2018,Michigan,Burbot,10.673,,Piscivore
2018,Michigan,Carp,0,,Benthic omnivore
2018,Michigan,Channel Catfish,0.111,,Benthic omnivore
2018,Michigan,Chinook Salmon,2388.23,,Piscivore
2018,Michigan,Chubs,11.507,,Planktivore
2018,Michigan,Cisco,3.735,,Planktivore
2018,Michigan,Coho Salmon,0.007,,Piscivore
2018,Michigan,Freshwater Drum,0.149,,Benthic invertivore
2018,Michigan,Gizzard Shad,0.007,,Planktivore
2018,Michigan,Lake Trout,591.682,,Piscivore
2018,Michigan,Lake Whitefish,2931.662,,Benthic invertivore
2018,Michigan,Pacific Salmon,2.395,,Piscivore
2018,Michigan,Rainbow Smelt,17.815,,Planktivore
2018,Michigan,Round Whitefish,1.923,,Benthic invertivore
2018,Michigan,Suckers,5.355,,Benthic omnivore
2018,Michigan,Walleye,6.092,,Piscivore
2018,Michigan,White Bass,0.335,,Piscivore
2018,Michigan,White Perch,0.185,,Invertivore
2018,Michigan,Yellow Perch,40.259,,Invertivore
2019,Michigan,Alewife,0,,Planktivore
2019,Michigan,Bullheads,,,Benthic omnivore
2019,Michigan,Burbot,8.61,,Piscivore
2019,Michigan,Carp,0.058,,Benthic omnivore
2019,Michigan,Channel Catfish,0.058,,Benthic omnivore
2019,Michigan,Chinook Salmon,2908.1,,Piscivore
2019,Michigan,Chubs,0.918,,Planktivore
2019,Michigan,Cisco,2.527,,Planktivore
2019,Michigan,Coho Salmon,0,,Piscivore
2019,Michigan,Freshwater Drum,0.009,,Benthic invertivore
2019,Michigan,Gizzard Shad,,,Planktivore
2019,Michigan,Lake Trout,581.85,,Piscivore
2019,Michigan,Lake Whitefish,2612.21,,Benthic invertivore
2019,Michigan,Pacific Salmon,2.908,,Piscivore
2019,Michigan,Rainbow Smelt,21.935,,Planktivore
2019,Michigan,Round Whitefish,2.383,,Benthic invertivore
2019,Michigan,Suckers,5.761,,Benthic omnivore
2019,Michigan,Walleye,5.481,,Piscivore
2019,Michigan,White Bass,0.043,,Piscivore
2019,Michigan,White Perch,0.286,,Invertivore
2019,Michigan,Yellow Perch,41.738,,Invertivore
2020,Michigan,Alewife,0,,Planktivore
2020,Michigan,Bullheads,0.008,,Benthic omnivore
2020,Michigan,Burbot,7.388,,Piscivore
2020,Michigan,Carp,0.037,,Benthic omnivore
2020,Michigan,Channel Catfish,0.113,,Benthic omnivore
2020,Michigan,Chinook Salmon,6182.51,,Piscivore
2020,Michigan,Chubs,3.662,,Planktivore
2020,Michigan,Cisco,1.519,,Planktivore
2020,Michigan,Coho Salmon,0,,Piscivore
2020,Michigan,Freshwater Drum,0.004,,Benthic invertivore
2020,Michigan,Gizzard Shad,,,Planktivore
2020,Michigan,Lake Trout,527.459,,Piscivore
2020,Michigan,Lake Whitefish,2141.532,,Benthic invertivore
2020,Michigan,Pacific Salmon,6.183,,Piscivore
2020,Michigan,Rainbow Smelt,0.01,,Planktivore
2020,Michigan,Round Whitefish,2.686,,Benthic invertivore
2020,Michigan,Suckers,6.819,,Benthic omnivore
2020,Michigan,Walleye,4.177,,Piscivore
2020,Michigan,White Bass,0.022,,Piscivore
2020,Michigan,White Perch,0.303,,Invertivore
2020,Michigan,Yellow Perch,49.291,,Invertivore
1867,Ontario,Cisco and Chubs,312,,Planktivore
1867,Ontario,Lake Trout,382,,Piscivore
1867,Ontario,Lake Whitefish,941,,Benthic invertivore
1867,Ontario,Walleye and Blue Pike,37,,Piscivore
1868,Ontario,Cisco and Chubs,353,,Planktivore
1868,Ontario,Lake Trout,613,,Piscivore
1868,Ontario,Lake Whitefish,1156,,Benthic invertivore
1868,Ontario,Walleye and Blue Pike,41,,Piscivore
1868,Ontario,Yellow Perch,1,,Invertivore
1869,Ontario,Cisco and Chubs,426,,Planktivore
1869,Ontario,Lake Trout,406,,Piscivore
1869,Ontario,Lake Whitefish,659,,Benthic invertivore
1869,Ontario,Walleye and Blue Pike,9,,Piscivore
1869,Ontario,Yellow Perch,2,,Invertivore
1870,Ontario,Cisco and Chubs,443,,Planktivore
1870,Ontario,Lake Trout,264,,Piscivore
1870,Ontario,Lake Whitefish,622,,Benthic invertivore
1870,Ontario,Walleye and Blue Pike,26,,Piscivore
1870,Ontario,Yellow Perch,10,,Invertivore
1871,Ontario,Cisco and Chubs,638,,Planktivore
1871,Ontario,Lake Trout,306,,Piscivore
1871,Ontario,Lake Whitefish,572,,Benthic invertivore
1871,Ontario,Walleye and Blue Pike,9,,Piscivore
1871,Ontario,Yellow Perch,,,Invertivore
1872,Ontario,Cisco and Chubs,769,,Planktivore
1872,Ontario,Lake Trout,187,,Piscivore
1872,Ontario,Lake Whitefish,492,,Benthic invertivore
1872,Ontario,Walleye and Blue Pike,25,,Piscivore
1872,Ontario,Yellow Perch,,,Invertivore
1873,Ontario,Cisco and Chubs,717,,Planktivore
1873,Ontario,Lake Trout,241,,Piscivore
1873,Ontario,Lake Whitefish,823,,Benthic invertivore
1873,Ontario,Northern Pike,109,,Piscivore
1873,Ontario,Walleye and Blue Pike,49,,Piscivore
1873,Ontario,Yellow Perch,,,Invertivore
1874,Ontario,Cisco and Chubs,384,,Planktivore
1874,Ontario,Lake Trout,118,,Piscivore
1874,Ontario,Lake Whitefish,464,,Benthic invertivore
1874,Ontario,Northern Pike,125,,Piscivore
1874,Ontario,Walleye and Blue Pike,45,,Piscivore
1874,Ontario,Yellow Perch,,,Invertivore
1875,Ontario,Cisco and Chubs,480,,Planktivore
1875,Ontario,Lake Trout,325,,Piscivore
1875,Ontario,Lake Whitefish,807,,Benthic invertivore
1875,Ontario,Northern Pike,84,,Piscivore
1875,Ontario,Walleye and Blue Pike,82,,Piscivore
1875,Ontario,Yellow Perch,,,Invertivore
1876,Ontario,Cisco and Chubs,665,,Planktivore
1876,Ontario,Lake Trout,378,,Piscivore
1876,Ontario,Lake Whitefish,535,,Benthic invertivore
1876,Ontario,Northern Pike,53,,Piscivore
1876,Ontario,Walleye and Blue Pike,85,,Piscivore
1876,Ontario,Yellow Perch,,,Invertivore
1877,Ontario,Cisco and Chubs,781,,Planktivore
1877,Ontario,Lake Trout,401,,Piscivore
1877,Ontario,Lake Whitefish,506,,Benthic invertivore
1877,Ontario,Northern Pike,99,,Piscivore
1877,Ontario,Walleye and Blue Pike,133,,Piscivore
1877,Ontario,Yellow Perch,,,Invertivore
1878,Ontario,Cisco and Chubs,387,,Planktivore
1878,Ontario,Lake Trout,362,,Piscivore
1878,Ontario,Lake Whitefish,777,,Benthic invertivore
1878,Ontario,Northern Pike,82,,Piscivore
1878,Ontario,Walleye and Blue Pike,45,,Piscivore
1878,Ontario,Yellow Perch,,,Invertivore
1879,Ontario,Cisco and Chubs,924,,Planktivore
1879,Ontario,Lake Sturgeon,546,,Benthic invertivore
1879,Ontario,Lake Trout,1008,,Piscivore
1879,Ontario,Lake Whitefish,1851,,Benthic invertivore
1879,Ontario,Northern Pike,81,,Piscivore
1879,Ontario,Walleye and Blue Pike,103,,Piscivore
1879,Ontario,Yellow Perch,,,Invertivore
1880,Ontario,Cisco and Chubs,206,,Planktivore
1880,Ontario,Lake Sturgeon,16,,Benthic invertivore
1880,Ontario,Lake Trout,250,,Piscivore
1880,Ontario,Lake Whitefish,799,,Benthic invertivore
1880,Ontario,Northern Pike,80,,Piscivore
1880,Ontario,Walleye and Blue Pike,105,,Piscivore
1880,Ontario,Yellow Perch,,,Invertivore
1881,Ontario,Cisco and Chubs,317,,Planktivore
1881,Ontario,Lake Sturgeon,12,,Benthic invertivore
1881,Ontario,Lake Trout,382,,Piscivore
1881,Ontario,Lake Whitefish,695,,Benthic invertivore
1881,Ontario,Northern Pike,156,,Piscivore
1881,Ontario,Walleye and Blue Pike,122,,Piscivore
1881,Ontario,Yellow Perch,1,,Invertivore
1882,Ontario,Cisco and Chubs,331,,Planktivore
1882,Ontario,Lake Sturgeon,103,,Benthic invertivore
1882,Ontario,Lake Trout,251,,Piscivore
