Year,Lake,Species,Grand_Total,Comments,Functional_Feeding_Group
1893,Erie,Lake Whitefish,1548,,Benthic invertivore
1893,Erie,Northern Pike,432,,Piscivore
1893,Erie,Sauger,,,Piscivore
1893,Erie,Suckers,1361,,Benthic omnivore
1893,Erie,Walleye,,,Piscivore
1893,Erie,Walleye and Blue Pike,13661,,Piscivore
1893,Erie,Yellow Perch,2595,,Invertivore
1894,Erie,Blue Pike,,,Piscivore
1894,Erie,Burbot,,,Piscivore
1894,Erie,Carp,226,,Benthic omnivore
1894,Erie,Channel Catfish and Bullheads,28,,Benthic omnivore
1894,Erie,Cisco,5224,,Planktivore
1894,Erie,Lake Sturgeon,391,,Benthic invertivore
1894,Erie,Lake Whitefish,153,,Benthic invertivore
1894,Erie,Northern Pike,40,,Piscivore
1894,Erie,Sauger,,,Piscivore
1894,Erie,Suckers,,,Benthic omnivore
1894,Erie,Walleye,,,Piscivore
1894,Erie,Walleye and Blue Pike,1922,,Piscivore
1894,Erie,Yellow Perch,563,,Invertivore
1895,Erie,Blue Pike,,,Piscivore
1895,Erie,Burbot,,,Piscivore
1895,Erie,Carp,,,Benthic omnivore
1895,Erie,Channel Catfish and Bullheads,28,,Benthic omnivore
1895,Erie,Cisco,5140,,Planktivore
1895,Erie,Lake Sturgeon,320,,Benthic invertivore
1895,Erie,Lake Whitefish,148,,Benthic invertivore
1895,Erie,Northern Pike,31,,Piscivore
1895,Erie,Sauger,,,Piscivore
1895,Erie,Suckers,,,Benthic omnivore
1895,Erie,Walleye,,,Piscivore
1895,Erie,Walleye and Blue Pike,1643,,Piscivore
1895,Erie,Yellow Perch,397,,Invertivore
1896,Erie,Blue Pike,,,Piscivore
1896,Erie,Burbot,,,Piscivore
1896,Erie,Carp,,,Benthic omnivore
1896,Erie,Channel Catfish and Bullheads,125,,Benthic omnivore
1896,Erie,Cisco,4275,,Planktivore
1896,Erie,Lake Sturgeon,218,,Benthic invertivore
1896,Erie,Lake Whitefish,126,,Benthic invertivore
1896,Erie,Northern Pike,190,,Piscivore
1896,Erie,Sauger,,,Piscivore
1896,Erie,Suckers,,,Benthic omnivore
1896,Erie,Walleye,,,Piscivore
1896,Erie,Walleye and Blue Pike,947,,Piscivore
1896,Erie,Yellow Perch,474,,Invertivore
1897,Erie,Blue Pike,4852,,Piscivore
1897,Erie,Burbot,,,Piscivore
1897,Erie,Carp,,,Benthic omnivore
1897,Erie,Channel Catfish and Bullheads,63,,Benthic omnivore
1897,Erie,Cisco,25103,,Planktivore
1897,Erie,Lake Sturgeon,549,,Benthic invertivore
1897,Erie,Lake Whitefish,1044,,Benthic invertivore
1897,Erie,Northern Pike,148,,Piscivore
1897,Erie,Sauger,4908,,Piscivore
1897,Erie,Suckers,,,Benthic omnivore
1897,Erie,Walleye,2621,,Piscivore
1897,Erie,Walleye and Blue Pike,7478,,Piscivore
1897,Erie,Yellow Perch,3753,,Invertivore
1898,Erie,Blue Pike,,,Piscivore
1898,Erie,Burbot,,,Piscivore
1898,Erie,Carp,,,Benthic omnivore
1898,Erie,Channel Catfish and Bullheads,65,,Benthic omnivore
1898,Erie,Cisco,4860,,Planktivore
1898,Erie,Lake Sturgeon,285,,Benthic invertivore
1898,Erie,Lake Whitefish,245,,Benthic invertivore
1898,Erie,Northern Pike,145,,Piscivore
1898,Erie,Sauger,,,Piscivore
1898,Erie,Suckers,,,Benthic omnivore
1898,Erie,Walleye,,,Piscivore
1898,Erie,Walleye and Blue Pike,802,,Piscivore
1898,Erie,Yellow Perch,379,,Invertivore
1899,Erie,Blue Pike,4545,,Piscivore
1899,Erie,Burbot,1,,Piscivore
1899,Erie,Carp,3634,,Benthic omnivore
1899,Erie,Channel Catfish and Bullheads,1002,,Benthic omnivore
1899,Erie,Cisco,39705,,Planktivore
1899,Erie,Freshwater Drum,1147,,Benthic invertivore
1899,Erie,Lake Sturgeon,960,,Benthic invertivore
1899,Erie,Lake Whitefish,2584,,Benthic invertivore
1899,Erie,Northern Pike,884,,Piscivore
1899,Erie,Sauger,3067,,Piscivore
1899,Erie,Suckers,1628,,Benthic omnivore
1899,Erie,Walleye,3108,,Piscivore
1899,Erie,Walleye and Blue Pike,7661,,Piscivore
1899,Erie,White Bass,1578,,Piscivore
1899,Erie,Yellow Perch,3732,,Invertivore
1900,Erie,Blue Pike,,,Piscivore
1900,Erie,Burbot,,,Piscivore
1900,Erie,Carp,,,Benthic omnivore
1900,Erie,Channel Catfish and Bullheads,88,,Benthic omnivore
1900,Erie,Cisco,6527,,Planktivore
1900,Erie,Freshwater Drum,,,Benthic invertivore
1900,Erie,Lake Sturgeon,169,,Benthic invertivore
1900,Erie,Lake Whitefish,401,,Benthic invertivore
1900,Erie,Northern Pike,822,,Piscivore
1900,Erie,Sauger,,,Piscivore
1900,Erie,Suckers,,,Benthic omnivore
1900,Erie,Walleye,,,Piscivore
1900,Erie,Walleye and Blue Pike,1218,,Piscivore
1900,Erie,White Bass,,,Piscivore
1900,Erie,Yellow Perch,695,,Invertivore
1901,Erie,Blue Pike,,,Piscivore
1901,Erie,Burbot,,,Piscivore
1901,Erie,Carp,,,Benthic omnivore
1901,Erie,Channel Catfish and Bullheads,103,,Benthic omnivore
1901,Erie,Cisco,4860,,Planktivore
1901,Erie,Freshwater Drum,,,Benthic invertivore
1901,Erie,Lake Sturgeon,168,,Benthic invertivore
1901,Erie,Lake Whitefish,526,,Benthic invertivore
1901,Erie,Northern Pike,1121,,Piscivore
